Replicate ID,Replicate_ID2,Treatment ,Phase,Blister_beetle,Leaf_hoppers,Beet_armyworm,Pea_aphid,Sharpshooter,Alfalfa_weevil
1,B1,Inactive,Post-Treatment,12,8,10,55,3,6
2,B2,Inactive,Post-Treatment,13,9,9,27,4,7
3,B3,Inactive,Post-Treatment,12,7,6,42,3,6
4,B4,Inactive,Post-Treatment,11,9,8,33,5,8
5,B5,Inactive,Post-Treatment,10,8,7,29,4,5
6,B6,Inactive,Post-Treatment,7,9,10,56,5,6
7,B7,Inactive,Post-Treatment,8,11,10,49,3,4
8,B8,Inactive,Post-Treatment,9,12,7,59,2,7
9,B9,Inactive,Post-Treatment,7,13,8,55,4,6
10,B10,Inactive,Post-Treatment,10,8,6,67,3,8
11,B11,Inactive,Post-Treatment,11,7,7,35,1,7
12,B12,Inactive,Post-Treatment,12,9,8,75,0,5
13,B13,Inactive,Post-Treatment,9,7,7,46,4,6
14,B14,Inactive,Post-Treatment,8,8,8,52,5,6
15,B15,Inactive,Post-Treatment,9,4,7,48,4,5
1,C1,Active,Post-Treatment,13,3,7,37,5,8
2,C2,Active,Post-Treatment,14,11,8,36,3,5
3,C3,Active,Post-Treatment,12,4,6,52,4,6
4,C4,Active,Post-Treatment,13,2,8,47,3,5
5,C5,Active,Post-Treatment,14,4,7,53,2,7
6,C6,Active,Post-Treatment,10,8,9,58,4,5
7,C7,Active,Post-Treatment,6,5,7,57,3,6
8,C8,Active,Post-Treatment,10,3,8,58,5,6
9,C9,Active,Post-Treatment,8,2,6,34,4,8
10,C10,Active,Post-Treatment,9,4,7,47,3,4
11,C11,Active,Post-Treatment,12,2,4,52,5,5
12,C12,Active,Post-Treatment,9,2,7,66,4,3
13,C13,Active,Post-Treatment,5,4,5,73,3,6
14,C14,Active,Post-Treatment,11,2,6,79,4,6
15,C15,Active,Post-Treatment,6,3,7,58,3,4
1,D1,Mixed,Post-Treatment,11,2,7,61,2,4
2,D2,Mixed,Post-Treatment,7,4,8,48,3,5
3,D3,Mixed,Post-Treatment,5,0,6,62,2,3
4,D4,Mixed,Post-Treatment,8,8,8,58,4,5
5,D5,Mixed,Post-Treatment,6,4,7,62,1,2
6,D6,Mixed,Post-Treatment,2,6,4,37,0,2
7,D7,Mixed,Post-Treatment,9,2,7,28,2,3
8,D8,Mixed,Post-Treatment,11,3,9,45,3,2
9,D9,Mixed,Post-Treatment,2,7,5,71,2,1
10,D10,Mixed,Post-Treatment,10,8,7,32,4,3
11,D11,Mixed,Post-Treatment,4,9,8,47,0,4
12,D12,Mixed,Post-Treatment,7,1,6,48,2,5
13,D13,Mixed,Post-Treatment,6,8,10,52,2,5
14,D14,Mixed,Post-Treatment,2,6,7,67,4,2
15,D15,Mixed,Post-Treatment,2,7,6,68,2,3
1,A1,Control,Post-Treatment,12,10,10,72,5,5
2,A2,Control,Post-Treatment,13,12,4,48,4,6
3,A3,Control,Post-Treatment,12,13,7,65,3,5
4,A4,Control,Post-Treatment,13,14,6,51,5,4
5,A5,Control,Post-Treatment,16,12,8,62,2,5
6,A6,Control,Post-Treatment,10,8,10,83,5,6
7,A7,Control,Post-Treatment,13,7,7,62,4,7
8,A8,Control,Post-Treatment,14,14,6,86,5,6
9,A9,Control,Post-Treatment,13,15,8,75,3,8
10,A10,Control,Post-Treatment,11,12,7,81,7,9