Pardosa_ID,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,Size
1,14,20,21,16,20,23,17,18,1.4
2,21,16,17,24,17,21,28,21,1.2
3,15,11,15,16,12,19,18,11,1.5
4,17,4,9,14,5,23,24,17,1.3
5,21,7,20,21,25,21,18,17,1.3
6,23,14,15,16,17,18,19,21,1.7
7,8,21,24,25,13,9,15,8,1.6
8,6,2,7,8,16,21,6,8,1.2
9,12,14,6,7,22,8,3,11,1.4
10,13,16,17,7,5,20,19,15,1.3
11,14,12,17,18,16,17,18,11,1.8
12,13,13,12,17,18,6,8,11,1.1
13,17,15,16,13,8,19,24,20,1.8
14,2,11,3,8,7,8,15,13,1.6
15,15,16,17,12,18,13,11,5,1.4
16,23,17,8,14,22,17,18,15,1.4
17,21,2,7,4,8,9,1,19,1.9
18,28,18,21,18,19,24,17,24,1.8
19,6,10,11,7,3,8,5,17,1.6